id,file_path,speech,class
aew_b0328,aew\arctic_b0328.wav,"Change chairs, Daylight commanded.",aew
aew_b0062,aew\arctic_b0062.wav,Now it was missing from the wall.,aew
aew_b0377,aew\arctic_b0377.wav,A scarlet loincloth completed his costume.,aew
aew_b0425,aew\arctic_b0425.wav,"There were orange-green, gold-green, and a copper-green.",aew
aew_a0339,aew\arctic_a0339.wav,"They obeyed him, and went here and there at his commands.",aew
aew_a0335,aew\arctic_a0335.wav,Red-Eye swung back and forth on the branch farther down.,aew
aew_b0416,aew\arctic_b0416.wav,I arose obediently and went down the beach.,aew
aew_b0300,aew\arctic_b0300.wav,Does the old boy often go off at half-cock that way.,aew
aew_b0306,aew\arctic_b0306.wav,"Cameron looked at his hands with their long, sinewy fingers.",aew
aew_b0065,aew\arctic_b0065.wav,"Now have you got anything to say against me, Mr Philip.",aew
aew_b0195,aew\arctic_b0195.wav,Nobody knows how the natives got them.,aew
aew_a0065,aew\arctic_a0065.wav,They closed now until his fingers were like cords of steel.,aew
aew_b0460,aew\arctic_b0460.wav,"The more his opponents grew excited, the more Ernest deliberately excited them.",aew
aew_b0206,aew\arctic_b0206.wav,"Horses and rifles had been her toys, camp and trail her nursery.",aew
aew_a0316,aew\arctic_a0316.wav,"We had been chased by them ourselves, more than once.",aew
aew_b0215,aew\arctic_b0215.wav,"It is a good property, and worth more than that.",aew
aew_a0403,aew\arctic_a0403.wav,His newborn cunning gave him poise and control.,aew
aew_b0484,aew\arctic_b0484.wav,This the Iron Heel foresaw and laid its schemes accordingly.,aew
aew_a0409,aew\arctic_a0409.wav,He could feel a new stir in the land.,aew
aew_b0531,aew\arctic_b0531.wav,I am sure it must have been some adventure.,aew
aew_b0248,aew\arctic_b0248.wav,Exciting times are the lot of the fish patrol.,aew
aew_b0182,aew\arctic_b0182.wav,I was in New York when the crash came.,aew
aew_a0263,aew\arctic_a0263.wav,"Joan looked triumphantly at Sheldon, who bowed.",aew
aew_a0356,aew\arctic_a0356.wav,You don't catch me at any such foolishness.,aew
aew_b0320,aew\arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter.,aew
aew_a0487,aew\arctic_a0487.wav,"The river bared its bosom, and snorting steamboats challenged the wilderness.",aew
aew_a0178,aew\arctic_a0178.wav,Every bone in her aged body seemed broken or dislocated.,aew
aew_a0365,aew\arctic_a0365.wav,These rumors may even originate with us.,aew
aew_a0043,aew\arctic_a0043.wav,It seemed nearer to him since he had seen and talked with Gregson.,aew
aew_a0332,aew\arctic_a0332.wav,"Unconsciously, our yells and exclamations yielded to this rhythm.",aew
aew_a0540,aew\arctic_a0540.wav,"Yea, so are all the lesser animals of today clean.",aew
aew_a0300,aew\arctic_a0300.wav,From my earliest recollection my sleep was a period of terror.,aew
aew_a0209,aew\arctic_a0209.wav,"It was not a large lake, and almost round.",aew
aew_b0270,aew\arctic_b0270.wav,We could throw stones with our feet.,aew
aew_b0387,aew\arctic_b0387.wav,It is merely the simple superlative.,aew
aew_a0220,aew\arctic_a0220.wav,A dead man is of no use on a plantation.,aew
aew_b0293,aew\arctic_b0293.wav,Between him and all domestic animals there must be no hostilities.,aew
aew_a0061,aew\arctic_a0061.wav,Philip snatched at the letter which Gregson held out to him.,aew
aew_a0205,aew\arctic_a0205.wav,From now on we're pals.,aew
